Run_Date,Avg_Total_Veh_Tunnel,Avg_Total_Veh_M30,Avg_Speed_Tunnel,Avg_Speed_Surface
2020-11-06T11:00:00Z,1182.4166666666667,5938.333333333333,63.70166666666667,78.62833333333333
2020-11-06T12:00:00Z,1316,6686.5,63.7475,78.26333333333334
2020-11-06T13:00:00Z,1831.4166666666667,9461.75,62.53916666666667,70.70666666666666
2020-11-06T14:00:00Z,1987.5833333333333,9713.833333333334,61.20583333333333,69.8825
2020-11-06T15:00:00Z,1670,6926.416666666667,61.88,78.1625
2020-11-06T16:00:00Z,1670,7334.916666666667,61.88,75.43333333333334
2020-11-06T17:00:00Z,1670,7154.666666666667,61.88,74.77416666666667
2020-11-06T18:00:00Z,1670,6719.833333333333,61.88,75.51833333333333
2020-11-06T19:00:00Z,1670,6374,61.88,76.3175
2020-11-06T20:00:00Z,1670,5548.083333333333,61.88,78.84083333333334
2020-11-06T21:00:00Z,1670,4337.083333333333,61.88,81.80833333333334
2020-11-06T22:00:00Z,595.6666666666666,2648.3333333333335,64.05166666666666,82.55333333333334
2020-11-06T23:00:00Z,276.6666666666667,1848.8333333333333,67.195,82.87416666666667
2020-11-07T00:00:00Z,115.5,608.25,65.98833333333333,78.31416666666667
2020-11-07T01:00:00Z,60.25,367.9166666666667,64.78416666666666,78.48166666666667
2020-11-07T02:00:00Z,49.083333333333336,310.4166666666667,68.25,81.5075
2020-11-07T03:00:00Z,66.25,321.6666666666667,67.46416666666667,85.66
2020-11-07T04:00:00Z,99.91666666666667,417.25,67.66083333333333,86.63583333333334
2020-11-07T05:00:00Z,166.41666666666666,900.5,69.39583333333334,84.34
2020-11-07T06:00:00Z,172.25,1342.8333333333333,70.12,83.7875
2020-11-07T07:00:00Z,189.25,1658.9166666666667,70.12,83.03833333333334
2020-11-07T08:00:00Z,176.5,2181.4166666666665,70.12,82.60416666666667
2020-11-07T09:00:00Z,185,2722.5833333333335,70.12,81.61
2020-11-07T10:00:00Z,168,3353.25,70.12,80.41916666666667
2020-11-07T11:00:00Z,168,3854.8333333333335,70.12,78.67333333333333
2020-11-07T12:00:00Z,492.9166666666667,4731.75,67.77250000000001,78.78166666666667
2020-11-07T13:00:00Z,1145.1666666666667,5817.416666666667,64.86083333333333,80.3275
2020-11-07T14:00:00Z,760.8333333333334,3840.6666666666665,65.5625,83.5925
2020-11-07T15:00:00Z,627.1666666666666,3085.5833333333335,65.38333333333334,83.41499999999999
2020-11-07T16:00:00Z,770.75,3773.0833333333335,64.51916666666666,81.44333333333333
2020-11-07T17:00:00Z,934,4550.083333333333,63.803333333333335,79.43
2020-11-07T18:00:00Z,966.5833333333334,4768.416666666667,62.649166666666666,78.765
2020-11-07T19:00:00Z,797,4159.166666666667,63.486666666666665,79.3325
2020-11-07T20:00:00Z,790.6666666666666,3674.1666666666665,63.44,80.56333333333333
2020-11-07T21:00:00Z,789,3015.1666666666665,63.44,81.81
2020-11-07T22:00:00Z,790,2874.5833333333335,63.44,82.23583333333333
2020-11-07T23:00:00Z,366.1666666666667,2132.1666666666665,66.98833333333333,85.12583333333333
2020-11-08T00:00:00Z,99.16666666666667,576.5833333333334,67.87666666666667,85.50999999999999
2020-11-08T01:00:00Z,57,317.5833333333333,69.85,84.84833333333333
2020-11-08T02:00:00Z,48.833333333333336,281.9166666666667,66.71333333333334,86.00833333333334
2020-11-08T03:00:00Z,47.25,267.8333333333333,70.13583333333334,86.70666666666666
2020-11-08T04:00:00Z,51.25,312.25,69.735,86.31416666666667
2020-11-08T05:00:00Z,155.83333333333334,746.3333333333334,69.84083333333334,86.22333333333333
2020-11-08T06:00:00Z,241.83333333333334,1158.5,68.49083333333334,85.58166666666666
2020-11-08T07:00:00Z,282.3333333333333,1396.1666666666667,67.60416666666667,84.56
2020-11-08T08:00:00Z,350,1789.8333333333333,66.17583333333333,84.7325
2020-11-08T09:00:00Z,545.8333333333334,2676.4166666666665,65.095,83.34083333333334
2020-11-08T10:00:00Z,629.6666666666666,3507.75,64.56,81.8375
2020-11-08T11:00:00Z,630.8333333333334,4152.25,64.56,81.29416666666667
2020-11-08T12:00:00Z,626.1666666666666,4540.833333333333,64.56,81.09666666666666
2020-11-08T13:00:00Z,630.8333333333334,4710.583333333333,64.56,81.74416666666667
2020-11-08T14:00:00Z,626.1666666666666,3396,64.56,83.88916666666667
2020-11-08T15:00:00Z,630.8333333333334,2953.5833333333335,64.56,83.8075
2020-11-08T16:00:00Z,630.8333333333334,3599.0833333333335,64.56,82.25
2020-11-08T17:00:00Z,994.0833333333334,4751.916666666667,63.87833333333334,79.62083333333334
2020-11-08T18:00:00Z,972.4166666666666,4609.166666666667,63.44,79.34
2020-11-08T19:00:00Z,796.25,3982,62.79,80.35166666666666
2020-11-08T20:00:00Z,614.1666666666666,3116.25,65.02916666666667,81.9075
2020-11-08T21:00:00Z,471.1666666666667,2330.4166666666665,66.22666666666667,82.96166666666667
2020-11-08T22:00:00Z,416.75,2042.1666666666667,66.145,84.095
2020-11-08T23:00:00Z,248.66666666666666,1318.5833333333333,68.6325,86.8925
2020-11-09T00:00:00Z,191,563,69.66,85.93333333333334
2020-11-09T01:00:00Z,199,451.9166666666667,69.66,87.47916666666667
2020-11-09T02:00:00Z,195,430.9166666666667,69.66,86.79333333333334
2020-11-09T03:00:00Z,195,425.6666666666667,69.66,87.25583333333333
2020-11-09T04:00:00Z,163,543.3333333333334,69.66,82.39083333333333
2020-11-09T05:00:00Z,159,1068.8333333333333,69.66,83.77583333333334
2020-11-09T06:00:00Z,167,1766.9166666666667,69.66,82.00333333333333
2020-11-09T07:00:00Z,427.75,2301.6666666666665,66.51583333333333,82.0525
2020-11-09T08:00:00Z,485.8333333333333,2373.5,65.74416666666667,81.99833333333333
2020-11-09T09:00:00Z,578.5833333333334,2873.4166666666665,64.13416666666667,81.13583333333334
2020-11-09T10:00:00Z,702.0909090909091,3497.090909090909,63.17181818181818,81.12272727272727
2020-11-09T11:00:00Z,781.4166666666666,3991.25,62.98416666666667,80.40416666666667
2020-11-09T12:00:00Z,845.1666666666666,4436.083333333333,63.585,81.26916666666666
2020-11-09T13:00:00Z,944.0833333333334,4809.083333333333,63.56,82.205
2020-11-09T14:00:00Z,764.8333333333334,3773.3333333333335,64.85333333333332,83.78333333333333
2020-11-09T15:00:00Z,757,3325.4166666666665,64.91,83.515
2020-11-09T16:00:00Z,757,3882.0833333333335,64.91,82.0925
2020-11-09T17:00:00Z,757,4332.333333333333,64.91,79.61833333333334
2020-11-09T18:00:00Z,757,4195.166666666667,64.91,79.8425
2020-11-09T19:00:00Z,757,3679.9166666666665,64.91,80.91083333333333
2020-11-09T20:00:00Z,757,3276.5,64.91,82.33666666666667
2020-11-09T21:00:00Z,523.4166666666666,2348.75,65.54583333333333,84.20666666666666
2020-11-09T22:00:00Z,308.5,1550,67.7525,85.67166666666667
2020-11-09T23:00:00Z,147.33333333333334,771.5,67.57916666666667,86.91166666666666
2020-11-10T00:00:00Z,83.25,322.4166666666667,63.98833333333333,86.4075
2020-11-10T01:00:00Z,73.91666666666667,276.8333333333333,67.53833333333333,86.22833333333332
2020-11-10T02:00:00Z,73.33333333333333,275.3333333333333,63.815,85.93333333333334
2020-11-10T03:00:00Z,74.33333333333333,321.4166666666667,65.56166666666667,88.0975
2020-11-10T04:00:00Z,140.5,615.6666666666666,64.49666666666667,86.86166666666666
2020-11-10T05:00:00Z,165,2008.5,64.06,85.61333333333333
2020-11-10T06:00:00Z,165,5026.166666666667,64.06,77.38083333333333
2020-11-10T07:00:00Z,165,7485.416666666667,64.06,67.425
2020-11-10T08:00:00Z,165,6924,64.06,66.52583333333334
2020-11-10T09:00:00Z,165,5086.166666666667,64.06,75.01833333333333
2020-11-10T10:00:00Z,165,4428.666666666667,64.06,78.555
2020-11-10T11:00:00Z,492.3333333333333,4921.333333333333,62.78416666666667,78.65583333333333
2020-11-10T12:00:00Z,1198.3333333333333,6307,61.604166666666664,78.7075
2020-11-10T13:00:00Z,1648.9166666666667,8537.833333333334,60.215833333333336,74.9075
2020-11-10T14:00:00Z,1774.8333333333333,8978.75,58.93833333333333,70.355
2020-11-10T15:00:00Z,1372.25,6983.5,60.391666666666666,76.69
2020-11-10T16:00:00Z,1330.8333333333333,6833.083333333333,60.805,76.765
2020-11-10T17:00:00Z,1478.5,7831.833333333333,59.888333333333335,71.07583333333334
2020-11-10T18:00:00Z,1391.5833333333333,7616.416666666667,59.4925,68.7475
2020-11-10T19:00:00Z,1339,5959.666666666667,59.34,77.81833333333333
2020-11-10T20:00:00Z,1339,4919.833333333333,59.34,80.61833333333334
2020-11-10T21:00:00Z,1339,3774,59.34,83.47749999999999
2020-11-10T22:00:00Z,1339,2889.0833333333335,59.34,85.42666666666666
2020-11-10T23:00:00Z,338.3333333333333,1011.1666666666666,62.87,87.235
2020-11-11T00:00:00Z,83.16666666666667,352.8333333333333,64.57666666666667,86.185
2020-11-11T01:00:00Z,68.5,289.6666666666667,63.64833333333333,86.3575
2020-11-11T02:00:00Z,70.75,270,64.92166666666667,86.0375
2020-11-11T03:00:00Z,83,324.5,67.27499999999999,88.5475
2020-11-11T04:00:00Z,158.33333333333334,617.0833333333334,66.85583333333334,87.08583333333334
2020-11-11T05:00:00Z,598.1666666666666,2519.1666666666665,65.9775,85.56666666666666
2020-11-11T06:00:00Z,1642.3333333333333,7109.5,59.49166666666667,76.84666666666666
2020-11-11T07:00:00Z,1922.6666666666667,9886.166666666666,57.11666666666667,68.05583333333334
2020-11-11T08:00:00Z,1627.0833333333333,8815.416666666666,57.49666666666667,69.755
2020-11-11T09:00:00Z,1149.9166666666667,6118.166666666667,60.78333333333333,76.21166666666666
2020-11-11T10:00:00Z,1079,5624.166666666667,61.4,78.2475
2020-11-11T11:00:00Z,1079,5780.416666666667,61.4,78.175
2020-11-11T12:00:00Z,1079,6149.5,61.4,78.56333333333333
2020-11-11T13:00:00Z,1079,8170.666666666667,61.4,73.9875
2020-11-11T14:00:00Z,1079,8271.583333333334,61.4,71.95416666666667
2020-11-11T15:00:00Z,1079,6616.083333333333,61.4,77.6575
2020-11-11T16:00:00Z,1238.5833333333333,6965.75,61.075833333333335,76.94
2020-11-11T17:00:00Z,1550.4166666666667,7992.25,59.71583333333333,72.48083333333334
2020-11-11T18:00:00Z,1404.3333333333333,7329.583333333333,60.09166666666667,72.87833333333333
2020-11-11T19:00:00Z,1118.75,5768.25,61.9975,77.56583333333333
2020-11-11T20:00:00Z,841.8333333333334,4408.583333333333,62.12166666666667,80.41333333333334
2020-11-11T21:00:00Z,617.5833333333334,3009.8333333333335,63.3125,83.24833333333333
2020-11-11T22:00:00Z,337.6666666666667,1784.5833333333333,65.42583333333333,85.0025
2020-11-11T23:00:00Z,187,921.3333333333334,65.69916666666667,87.10583333333334
2020-11-12T00:00:00Z,159,447,65.94,86.66416666666666
2020-11-12T01:00:00Z,159,384.25,65.94,86.33416666666666
2020-11-12T02:00:00Z,159,378.4166666666667,65.94,87.00333333333333
2020-11-12T03:00:00Z,159,407.5833333333333,65.94,88.31916666666666
2020-11-12T04:00:00Z,159,628.25,65.94,87.09666666666666
2020-11-12T05:00:00Z,159,1935.6666666666667,65.94,85.70083333333334
2020-11-12T06:00:00Z,159,4851.916666666667,65.94,77.89666666666668
2020-11-12T07:00:00Z,1302,9001.666666666666,60.391666666666666,68.80416666666666
2020-11-12T08:00:00Z,1660,8561,59.79083333333333,71.60833333333333
2020-11-12T09:00:00Z,1155.1666666666667,5778.416666666667,61.373333333333335,78.56083333333333
2020-11-12T10:00:00Z,1115.1666666666667,5512,60.861666666666665,78.6325
2020-11-12T11:00:00Z,1122.6666666666667,5714.416666666667,61.1125,78.47666666666666
2020-11-12T12:00:00Z,1158.4166666666667,6202.25,60.30916666666667,78.72083333333333
2020-11-12T13:00:00Z,1710.1666666666667,8601.75,60.90166666666667,73.47083333333333
2020-11-12T14:00:00Z,1703.3333333333333,8779.083333333334,60.958333333333336,72.3525
2020-11-12T15:00:00Z,1642,6996.416666666667,61.32,79.02499999999999
2020-11-12T16:00:00Z,1642,7480.666666666667,61.32,77.2675
2020-11-12T17:00:00Z,1642,8154.25,61.32,72.00916666666667
2020-11-12T18:00:00Z,1642,7738.5,61.32,70.95166666666667
2020-11-12T19:00:00Z,1642,6702.5,61.32,77.05583333333333
2020-11-12T20:00:00Z,1642,5520,61.32,80.09916666666666
2020-11-12T21:00:00Z,1183.0833333333333,3801.5,62.401666666666664,82.69
2020-11-12T22:00:00Z,386.75,1958,65.37,84.8175
2020-11-17T08:00:00Z,703,6424.75,64.68,73.9725
